id,title,body,labels,milestone,effort_days,depends_on
STORY-001,Repo skeleton + tooling,"pyproject (ruff/mypy-strict/pytest/coverage), pre-commit, empty package tree","epic-000,P0,risk-low,story",Wave-0-Foundation,1,
STORY-002,AGENTS.md conventions contract,"Behaviour contract (FREEZE-1)","epic-000,P0,risk-low,story",Wave-0-Foundation,1,STORY-001
STORY-003,AI persistent context,"CLAUDE.md, AI_CONTEXT.md, docs/INVARIANTS.md","epic-000,P0,risk-low,story",Wave-0-Foundation,1,STORY-001
STORY-004,Root ADRs,"docs/adr/0001-0003","epic-000,P0,risk-low,story",Wave-0-Foundation,1,STORY-001
STORY-005,Paso 0: legacy under git,"git init + .gitignore + initial commit of scripts/","epic-012,P0,risk-med,story,security",Wave-0-Foundation,0.5,
STORY-006,Rotate exposed credentials,"Rotate/invalidate TMDB/ARR/qBit/Telegram (assume compromised)","epic-012,P0,risk-high,story,security",Wave-0-Foundation,0.5,
STORY-007,core/secrets.py + .env.example,"Fail-closed ENV/.env loader, typed","epic-012,P0,risk-med,story,security",Wave-1-Core,1,STORY-001;STORY-010
STORY-008,Secret scanning in CI,"gitleaks stage; plant-secret fails build","epic-012,P1,risk-low,story,security",Wave-0-Foundation,0.5,STORY-060
STORY-009,Quarantine/rollback/backup spec,"SECURITY.md feeding core/safety + core/fs","epic-012,P0,risk-med,story,security",Wave-1-Core,1,STORY-004
STORY-010,core/types.py + core/errors.py,"Domain dataclasses + exception hierarchy","epic-001,P0,risk-low,story,core",Wave-1-Core,1,STORY-001
STORY-011a,core/config load + layering,"defaults->json->ENV typed load","epic-001,P0,risk-med,story,core",Wave-1-Core,1,STORY-010
STORY-011b,core/config merge/upgrade,"Merge new defaults into old config","epic-001,P0,risk-med,story,core",Wave-1-Core,0.5,STORY-011a
STORY-012,core/logging.py,"Structured JSON + rotation + run_id","epic-001,P0,risk-low,story,core",Wave-1-Core,1,STORY-010
STORY-013,core/locks.py,"flock single-instance","epic-001,P0,risk-low,story,core",Wave-1-Core,0.5,STORY-010
